Step	Da	Ra/Wa	Rq/Wq
0	0.000000	0.000000	0.000000
10	0.000000	0.000000	0.000000
20	0.000000	0.000000	0.000000
30	0.000000	0.000000	0.000000
40	0.000000	0.000000	0.000000
50	0.000000	0.000000	0.000000
60	0.000000	0.000000	0.000000
70	0.000000	0.000000	0.000000
80	0.000000	0.000000	0.000000
90	0.000000	0.000000	0.000000
100	0.000000	0.000000	0.000000
110	0.000000	0.000000	0.000000
120	0.000000	0.000000	0.000000
130	0.000000	0.000000	0.000000
140	0.000000	0.000000	0.000000
150	0.000000	0.000000	0.000000
160	0.000000	0.000000	0.000000
170	0.000000	0.000000	0.000000
180	0.000000	0.000000	0.000000
190	0.000000	0.000000	0.000000
200	0.000000	0.000000	0.000000
210	0.000000	0.000000	0.000000
220	0.023122	0.000000	0.000000
230	0.069366	0.000000	0.000000
240	0.146440	0.231221	0.477608
250	0.238929	0.231221	0.477608
260	0.331417	0.231221	0.477608
270	0.431613	0.231221	0.477608
280	0.554931	0.231221	0.477608
290	0.655127	0.231221	0.477608
300	0.763030	0.231221	0.477608
310	0.870933	0.231221	0.477608
320	0.994251	0.739908	0.854372
330	1.071325	0.847811	0.914550
340	1.125276	0.847811	0.914550
350	1.256302	0.971129	0.978806
360	1.348790	0.971129	0.978806
370	1.580011	1.109862	1.208264
380	1.741866	1.356498	1.515356
390	1.872891	1.294839	1.479815
400	2.065576	1.233180	1.559862
410	2.250553	1.402742	1.774236
420	2.396993	1.448986	1.739614
430	2.558848	1.448986	1.739614
440	2.682166	1.448986	1.739614
450	2.813191	1.448986	1.739614
460	2.959631	1.572304	1.829101
470	3.113778	1.464401	1.704288
480	3.275633	1.464401	1.704288
490	3.429781	1.572304	1.829101
500	3.576221	1.572304	1.829101
510	3.815149	1.788110	2.033812
520	4.000126	1.695622	1.999881
530	4.154274	1.973087	2.416529
540	4.300714	1.880599	2.362432
550	4.462569	2.003917	2.403910
560	4.662960	2.219723	2.656350
570	4.824815	2.096405	2.583798
580	5.009792	1.973087	2.403910
590	5.117695	1.973087	2.403910
600	5.333502	1.973087	2.403910
610	5.487649	1.973087	2.403910
620	5.695748	2.096405	2.515203
630	5.880725	1.911428	2.403910
640	6.042580	2.003917	2.487846
650	6.173605	2.096405	2.563116
660	6.389412	2.065576	2.690480
670	6.551267	2.142650	2.830946
680	6.705414	2.250553	2.865650
690	6.844147	2.343041	2.894690
700	7.021416	2.466359	3.000455
710	7.221808	2.589677	3.097712
720	7.399077	2.481774	3.038230
730	7.545518	2.589677	3.196767
740	7.730494	2.589677	3.196767
750	7.907764	2.589677	3.196767
760	8.146693	2.589677	3.196767
770	8.293133	2.589677	3.196767
780	8.562891	2.805484	3.408576
790	8.709331	3.021290	3.591073
800	8.902015	3.021290	3.591073
810	9.133236	2.635921	3.379452
820	9.302798	2.820898	3.450700
830	9.487775	2.820898	3.450700
840	9.680460	2.589677	3.158481
850	9.850022	2.435530	3.018142
860	10.050414	2.528018	3.109961
870	10.189146	2.312212	3.038230
880	10.273927	2.250553	3.018142
890	10.528271	2.235138	3.058186
900	10.682418	2.065576	2.949337
910	10.859688	2.327626	3.156073
920	11.060079	2.327626	3.156073
930	11.291301	2.188894	2.779446
940	11.476277	2.158064	2.833631
950	11.645840	2.158064	2.833631
960	11.823109	2.281382	2.949337
970	11.977257	2.373871	3.038230
980	12.216185	2.312212	2.787641
990	12.401162	2.312212	2.787641
1000	12.539895	2.250553	2.852353
